*******************************************************************************,
"2312001.500000000, A.D. 1617-Dec-11 00:00:00.0000, -5.321686278444995E+09, -4.152635552573498E+10, -1.587308869031755E+10,  2.994733318880540E-01,  2.232385195646017E+00,  9.144158538456301E-01,  1.493500780042299E+05,  4.477402698737982E+10, -2.430228766432978E+00,",
"2312366.500000000, A.D. 1618-Dec-11 00:00:00.0000, -5.312238165208037E+09, -4.145592441917964E+10, -1.584423997314379E+10,  2.997222182508345E-01,  2.234327395275552E+00,  9.151581983723320E-01,  1.490943255482879E+05,  4.469735432997344E+10, -2.432320462164241E+00,",
"2312731.500000000, A.D. 1619-Dec-11 00:00:00.0000, -5.302782189876185E+09, -4.138543195773312E+10, -1.581536780642452E+10,  2.999719436123948E-01,  2.236276304119827E+00,  9.159030167809419E-01,  1.488383526834437E+05,  4.462061559564049E+10, -2.434419344920684E+00,",
"2313097.500000000, A.D. 1620-Dec-11 00:00:00.0000, -5.293292386641255E+09, -4.131468454569180E+10, -1.578639291322960E+10,  3.002232018031933E-01,  2.238237330681592E+00,  9.166523749046128E-01,  1.485814564454000E+05,  4.454360004098641E+10, -2.436531239035994E+00,",
"2313462.500000000, A.D. 1621-Dec-11 00:00:00.0000, -5.283820585534831E+09, -4.124406856690640E+10, -1.575747354741048E+10,  3.004746259825611E-01,  2.240199800866591E+00,  9.174021923870153E-01,  1.483250398739741E+05,  4.446672828676672E+10, -2.438644648741907E+00,",
"2313827.500000000, A.D. 1622-Dec-11 00:00:00.0000, -5.274340842039511E+09, -4.117339059202988E+10, -1.572853049568154E+10,  3.007269055842161E-01,  2.242169103506089E+00,  9.181545278502947E-01,  1.480684006025538E+05,  4.438978976876828E+10, -2.440765377080731E+00,",
"2314192.500000000, A.D. 1623-Dec-11 00:00:00.0000, -5.264853129100339E+09, -4.110265040496346E+10, -1.569956367841467E+10,  3.009800455738466E-01,  2.244145279085839E+00,  9.189093952887861E-01,  1.478115378590336E+05,  4.431278425551974E+10, -2.442893467058467E+00,",
"2314558.500000000, A.D. 1624-Dec-11 00:00:00.0000, -5.255331392871219E+09, -4.103165372256822E+10, -1.567049355622438E+10,  3.012347467969160E-01,  2.246133812515835E+00,  9.196688884932508E-01,  1.475537462099884E+05,  4.423550026340060E+10, -2.445034824476654E+00,",
"2314923.500000000, A.D. 1625-Dec-11 00:00:00.0000, -5.245827637299897E+09, -4.096078828560677E+10, -1.564147890147379E+10,  3.014896230220657E-01,  2.248123880796687E+00,  9.204288732817986E-01,  1.472964335696427E+05,  4.415835987447688E+10, -2.447177794348793E+00,",
"2315288.500000000, A.D. 1626-Dec-11 00:00:00.0000, -5.236315830171551E+09, -4.088985997954782E+10, -1.561244023921681E+10,  3.017453742305225E-01,  2.250120951684802E+00,  9.211914372637775E-01,  1.470388951102815E+05,  4.408115178671546E+10, -2.449328264305923E+00,",
"2315653.500000000, A.D. 1627-Dec-11 00:00:00.0000, -5.226795943790350E+09, -4.081886858287446E+10, -1.558337748786170E+10,  3.020020069304858E-01,  2.252125068533164E+00,  9.219565963783843E-01,  1.467811300405020E+05,  4.400387576285973E+10, -2.451486280881889E+00,",
"2316019.500000000, A.D. 1628-Dec-11 00:00:00.0000, -5.217241835009125E+09, -4.074761911508771E+10, -1.555421084185940E+10,  3.022602336049352E-01,  2.254141794752139E+00,  9.227264724174614E-01,  1.465224304222220E+05,  4.392631956841191E+10, -2.453657833847669E+00,",
"2316384.500000000, A.D. 1629-Dec-11 00:00:00.0000, -5.207705683964274E+09, -4.067650069277371E+10, -1.552509959905687E+10,  3.025186471021143E-01,  2.256160153132590E+00,  9.234968737794034E-01,  1.462642091116093E+05,  4.384890676699535E+10, -2.455831102631317E+00,",
"2316749.500000000, A.D. 1630-Dec-11 00:00:00.0000, -5.198161369477499E+09, -4.060531850648557E+10, -1.549596401927030E+10,  3.027779569465360E-01,  2.258185686865299E+00,  9.242699165072614E-01,  1.460057587850688E+05,  4.377142530833086E+10, -2.458012055894701E+00,",
"2317114.500000000, A.D. 1631-Dec-11 00:00:00.0000, -5.188608863171523E+09, -4.053407232920990E+10, -1.546680401894186E+10,  3.030381697214507E-01,  2.260218442852397E+00,  9.250456172340502E-01,  1.457470786316404E+05,  4.369387494929877E+10, -2.460200743714413E+00,",
"2317480.500000000, A.D. 1632-Dec-11 00:00:00.0000, -5.179021931391754E+09, -4.046256647307791E+10, -1.543753952269762E+10,  3.033000081360498E-01,  2.262264066586964E+00,  9.258261289404555E-01,  1.454874581728730E+05,  4.361604269381779E+10, -2.462403244110589E+00,",
"2317845.500000000, A.D. 1633-Dec-11 00:00:00.0000, -5.169452932915280E+09, -4.039119144999407E+10, -1.540833036101758E+10,  3.035620470506708E-01,  2.264311425771468E+00,  9.266072026394345E-01,  1.452283152764946E+05,  4.353835360793925E+10, -2.464607570479925E+00,",
"2318210.500000000, A.D. 1634-Dec-11 00:00:00.0000, -5.159875656288997E+09, -4.031975174548532E+10, -1.537909652476099E+10,  3.038250059961143E-01,  2.266366142895921E+00,  9.273909829309700E-01,  1.449689400868954E+05,  4.346059488230511E+10, -2.466819776194235E+00,",
"2318575.500000000, A.D. 1635-Dec-11 00:00:00.0000, -5.150290072396644E+09, -4.024824712680590E+10, -1.534983792832393E+10,  3.040888912979213E-01,  2.268428263431136E+00,  9.281774857248541E-01,  1.447093317727130E+05,  4.338276626767914E+10, -2.469039909711394E+00,",
"2318941.500000000, A.D. 1636-Dec-11 00:00:00.0000, -5.140669855763090E+09, -4.017648118847623E+10, -1.532047422276679E+10,  3.043544341639949E-01,  2.270503514931029E+00,  9.289688939117293E-01,  1.444487772785652E+05,  4.330465399543562E+10, -2.471274136617672E+00,",
"2319306.500000000, A.D. 1637-Dec-11 00:00:00.0000, -5.131067546368132E+09, -4.010484585783559E+10, -1.529116577864172E+10,  3.046201893556585E-01,  2.272580605577931E+00,  9.297609001681603E-01,  1.441886995556632E+05,  4.322668465561577E+10, -2.473510299588999E+00,",
"2319671.500000000, A.D. 1638-Dec-11 00:00:00.0000, -5.121456841270963E+09, -4.003314490518163E+10, -1.526183231410556E+10,  3.048868871997971E-01,  2.274665243731824E+00,  9.305556809270468E-01,  1.439283861799720E+05,  4.314864466886703E+10, -2.475754544051394E+00,",
"2320036.500000000, A.D. 1639-Dec-11 00:00:00.0000, -5.111837710637429E+09, -3.996137809173888E+10, -1.523247374138918E+10,  3.051545345001420E-01,  2.276757477452261E+00,  9.313532532693363E-01,  1.436678362986758E+05,  4.307053377952163E+10, -2.478006921331014E+00,",
"2320402.500000000, A.D. 1640-Dec-11 00:00:00.0000, -5.102183735845917E+09, -3.988934828368816E+10, -1.520300943402565E+10,  3.054238735676433E-01,  2.278863118308355E+00,  9.321558305801368E-01,  1.434063342411264E+05,  4.299213743491685E+10, -2.480273686904388E+00,",
"2320767.500000000, A.D. 1641-Dec-11 00:00:00.0000, -5.092547640605522E+09, -3.981744884421509E+10, -1.517360031013105E+10,  3.056934383643738E-01,  2.280970706323532E+00,  9.329590439468524E-01,  1.431453081148987E+05,  4.291388377093282E+10, -2.482542503487263E+00,",
"2321132.500000000, A.D. 1642-Dec-11 00:00:00.0000, -5.082903029138611E+09, -3.974548281792686E+10, -1.514416581132030E+10,  3.059639699059927E-01,  2.283086035105666E+00,  9.337651003526588E-01,  1.428840428901597E+05,  4.283555842701841E+10, -2.484819607511230E+00,",
"2321497.500000000, A.D. 1643-Dec-11 00:00:00.0000, -5.073249870873744E+09, -3.967344995989378E+10, -1.511470584763618E+10,  3.062354738385323E-01,  2.285209156470497E+00,  9.345740187610188E-01,  1.426225376922226E+05,  4.275716114094905E+10, -2.487105054311079E+00,",
"2321863.500000000, A.D. 1644-Dec-11 00:00:00.0000, -5.063561652725505E+09, -3.960115239710513E+10, -1.508513951109613E+10,  3.065087041089835E-01,  2.287345971622480E+00,  9.353880459215863E-01,  1.423600741964311E+05,  4.267847656441043E+10, -2.489405195540995E+00,",
"2322228.500000000, A.D. 1645-Dec-11 00:00:00.0000, -5.053891284762048E+09, -3.952898494947971E+10, -1.505562827504228E+10,  3.067821738828168E-01,  2.289484852264330E+00,  9.362027515158817E-01,  1.420980857413125E+05,  4.259993440148282E+10, -2.491707513881180E+00,",
"2322593.500000000, A.D. 1646-Dec-11 00:00:00.0000, -5.044212277005593E+09, -3.945674992500813E+10, -1.502609130050088E+10,  3.070566374472511E-01,  2.291631675817202E+00,  9.370203730299530E-01,  1.418358546521770E+05,  4.252131949870689E+10, -2.494018335722075E+00,",
"2322958.500000000, A.D. 1647-Dec-11 00:00:00.0000, -5.034524598017826E+09, -3.938444707237057E+10, -1.499652849523289E+10,  3.073321004739255E-01,  2.293786495164861E+00,  9.378409285324859E-01,  1.415733800315767E+05,  4.244263158703449E+10, -2.496337717071123E+00,",
"2323324.500000000, A.D. 1648-Dec-11 00:00:00.0000, -5.024801638800850E+09, -3.931187776829794E+10, -1.496685866571002E+10,  3.076093260599655E-01,  2.295955299792301E+00,  9.386666972775932E-01,  1.413099408613411E+05,  4.236365451065609E+10, -2.498672103898492E+00,",
"2323689.500000000, A.D. 1649-Dec-11 00:00:00.0000, -5.015096498470233E+09, -3.923943831113378E+10, -1.493724384850188E+10,  3.078868048642420E-01,  2.298126290851433E+00,  9.394931863654509E-01,  1.410469757884491E+05,  4.228481956508563E+10, -2.501008796171552E+00,",
"2324054.500000000, A.D. 1650-Dec-11 00:00:00.0000, -5.005382591540232E+09, -3.916693026117519E+10, -1.490760292001051E+10,  3.081653019199224E-01,  2.300305435284377E+00,  9.403226671334769E-01,  1.407837644538652E+05,  4.220591079211727E+10, -2.503354216414079E+00,",
